,tipo_precio
211573,bajo
281133,medio
223872,medio
222316,alto
356945,medio
386918,alto
452570,bajo
149367,alto
442658,medio
162196,bajo
153414,bajo
397072,bajo
445996,medio
126776,alto
158270,alto
316886,bajo
111227,alto
213926,bajo
265182,bajo
243559,medio
21179,alto
308688,bajo
171593,bajo
432672,bajo
65581,bajo
2517,alto
72230,medio
213733,alto
272551,alto
242332,alto
135254,alto
95102,bajo
428946,bajo
94781,alto
318870,medio
291772,medio
304373,alto
310702,alto
83646,medio
120684,alto
82056,alto
377441,alto
252732,medio
260222,medio
452301,alto
140164,bajo
283197,bajo
409862,bajo
11165,alto
84082,alto
422256,bajo
371112,bajo
307988,medio
293783,bajo
243121,alto
440892,medio
422280,medio
4121,bajo
264564,alto
150616,medio
111410,medio
298952,alto
459876,medio
290715,medio
379523,alto
162058,alto
31154,alto
217644,bajo
89512,bajo
129140,alto
329970,medio
203171,alto
58728,bajo
116100,bajo
213987,bajo
40947,alto
41403,alto
100789,alto
319543,bajo
121686,alto
92408,alto
33044,medio
430764,alto
210303,medio
295577,alto
139121,alto
67649,medio
120696,alto
397996,bajo
170357,bajo
171533,alto
186127,medio
434455,alto
304360,medio
211572,bajo
100006,medio
329995,medio
139318,bajo
382321,bajo
55802,bajo
441003,medio
361461,alto
303104,bajo
310059,medio
274503,alto
74821,alto
174352,bajo
110788,alto
80307,bajo
8011,medio
238571,medio
367448,alto
274799,medio
436197,medio
406868,alto
390342,medio
158246,alto
334862,bajo
422270,medio
47060,bajo
262835,bajo
161049,bajo
180164,alto
167694,alto
85098,bajo
149561,bajo
80470,alto
400712,bajo
256328,alto
404519,medio
126769,bajo
312714,bajo
240863,alto
151892,alto
273598,medio
290155,bajo
39432,medio
227865,bajo
435962,medio
298190,medio
347809,alto
424821,medio
428369,bajo
326744,medio
427179,alto
191717,medio
347467,medio
24603,medio
423188,alto
161971,medio
442332,bajo
274911,bajo
124900,medio
448234,bajo
377160,bajo
204657,medio
161954,bajo
31363,alto
391012,medio
360509,bajo
62997,bajo
216757,medio
228179,medio
233030,bajo
59355,bajo
174115,alto
307726,medio
452218,alto
256984,alto
383243,medio
398775,alto
207542,alto
82464,alto
328167,medio
347421,bajo
412443,alto
136302,bajo
117459,medio
43893,alto
9340,alto
290671,alto
415449,medio
415962,medio
57526,alto
310538,alto
32140,medio
426241,alto
219538,medio
145702,alto
69884,bajo
270031,bajo
133658,bajo
361560,medio
359006,alto
64018,alto
299695,medio
398182,bajo
458276,alto
306373,alto
401423,alto
389744,medio
157352,alto
147926,bajo
456120,bajo
383167,bajo
397310,medio
73371,medio
369055,medio
188433,alto
55015,medio
269726,alto
9878,medio
458407,medio
360431,alto
456225,bajo
383571,bajo
164599,bajo
246919,medio
279215,medio
304024,medio
218991,alto
404450,bajo
28753,bajo
107655,medio
57112,bajo
447191,bajo
431160,bajo
33054,medio
126109,medio
454770,bajo
150840,alto
235181,alto
277261,medio
255866,medio
312007,bajo
35223,medio
337591,medio
388697,bajo
340069,alto
31425,medio
343429,bajo
425557,bajo
93093,medio
304351,alto
159321,medio
64543,bajo
339919,bajo
26044,alto
411521,bajo
199508,bajo
447214,alto
246556,medio
151436,medio
289252,medio
199242,medio
176294,alto
235064,medio
84170,medio
398808,alto
9407,alto
425647,bajo
170338,medio
246867,bajo
272005,alto
26267,bajo
356525,bajo
230038,bajo
327396,medio
208468,bajo
314766,medio
310447,alto
452255,medio
306979,medio
296816,medio
326221,alto
350791,alto
314412,bajo
270200,alto
17965,bajo
73536,medio
61817,bajo
359143,bajo
27599,alto
256203,alto
99586,bajo
348019,bajo
129305,medio
16793,medio
84983,medio
24850,bajo
422661,medio
440893,medio
25839,alto
332270,bajo
230942,bajo
68246,medio
6230,alto
430641,bajo
120944,bajo
236615,medio
331887,bajo
239892,bajo
131540,medio
217894,alto
7744,alto
279590,medio
18955,bajo
72759,medio
23004,alto
306014,bajo
449722,medio
382924,medio
76575,medio
275161,bajo
76495,bajo
313359,alto
9274,bajo
89678,alto
109276,bajo
141736,bajo
34111,bajo
77729,bajo
348209,bajo
85773,alto
377493,medio
302650,alto
228183,alto
313141,medio
398783,alto
259655,alto
449868,medio
26449,bajo
82278,medio
175920,alto
338308,bajo
219748,alto
238337,alto
426070,alto
126675,alto
153375,bajo
268533,bajo
231089,alto
277107,bajo
85133,medio
153652,bajo
367430,bajo
69400,alto
33516,alto
292648,medio
360304,alto
155913,medio
152381,medio
323267,medio
312454,bajo
371584,medio
418168,bajo
11124,alto
227127,medio
443894,medio
164239,alto
12215,medio
444408,alto
139325,alto
189801,medio
214376,medio
194594,bajo
69931,alto
452246,medio
132010,bajo
216508,medio
41551,alto
64699,alto
428405,bajo
212942,bajo
379817,medio
44259,bajo
35820,bajo
291594,medio
295256,bajo
94328,alto
430625,bajo
168482,alto
304283,medio
383244,bajo
91939,bajo
133251,alto
262430,medio
184184,medio
360059,medio
163068,bajo
238813,bajo
272115,alto
44103,alto
336236,medio
429750,medio
391466,bajo
43885,medio
39543,alto
218626,medio
387718,medio
385578,alto
230926,alto
35504,medio
240122,medio
18903,alto
370361,bajo
4774,medio
398471,medio
313455,medio
346390,bajo
67603,bajo
28023,bajo
144796,alto
151007,bajo
76948,alto
233455,alto
436828,medio
350841,bajo
209749,alto
197046,bajo
89374,alto
151788,medio
193904,bajo
17995,medio
11076,medio
92153,bajo
407927,medio
14589,bajo
168235,alto
188231,medio
200572,bajo
257099,alto
104444,bajo
397534,alto
370279,bajo
173820,bajo
298851,alto
20647,alto
264439,bajo
204678,bajo
264460,alto
8159,bajo
112158,medio
257154,alto
188577,medio
344815,bajo
183481,alto
227223,alto
308143,medio
47524,bajo
178702,medio
290829,bajo
280021,medio
156998,medio
256058,medio
157001,medio
158669,bajo
198928,alto
56105,medio
7505,medio
208630,bajo
437606,medio
172540,alto
182016,alto
114611,bajo
366159,medio
398296,bajo
271511,bajo
187802,bajo
232937,medio
300749,bajo
257237,medio
196224,medio
303344,bajo
257178,alto
451368,alto
283199,medio
110797,alto
277250,bajo
125312,medio
391128,alto
294102,bajo
144713,bajo
291798,medio
377163,medio
377879,alto
235303,alto
140542,bajo
17114,bajo
168695,medio
278837,medio
172397,medio
65602,medio
96248,bajo
174532,medio
28749,alto
149140,alto
393409,bajo
157115,medio
119185,bajo
406493,alto
297814,bajo
57976,medio
8205,bajo
444025,alto
93297,alto
240865,medio
185154,bajo
219706,medio
65333,medio
238145,medio
150471,bajo
304432,alto
324765,bajo
118033,medio
434429,medio
344788,bajo
268212,alto
322633,bajo
277528,bajo
199949,medio
229125,bajo
178457,alto
299824,medio
397062,bajo
120147,bajo
46759,alto
365278,medio
302625,medio
188778,medio
317543,bajo
111628,bajo
33262,medio
179894,alto
242156,medio
263879,alto
429744,medio
40681,alto
295153,bajo
449655,medio
293603,medio
62101,alto
128982,medio
124663,bajo
72720,medio
117526,bajo
34832,bajo
382312,medio
53677,bajo
191527,alto
131348,alto
68437,medio
139336,alto
297771,medio
220754,alto
230539,alto
319777,bajo
201891,bajo
334162,alto
349041,alto
174484,medio
141030,bajo
39784,bajo
271949,alto
293561,alto
167985,alto
399686,bajo
187232,bajo
105284,alto
210371,bajo
147380,alto
301198,medio
312285,alto
72536,medio
393583,bajo
162511,medio
50682,bajo
77374,alto
17890,medio
242138,alto
428668,bajo
279423,medio
312302,alto
396873,medio
450477,bajo
74540,medio
381518,medio
222415,bajo
73918,bajo
70213,bajo
270097,medio
43610,bajo
84981,medio
88339,bajo
242315,alto
231184,bajo
291596,medio
350122,bajo
255869,medio
30337,alto
259967,bajo
437870,alto
442357,bajo
385556,bajo
400097,bajo
238862,bajo
134137,bajo
256189,alto
7372,alto
169920,alto
331744,medio
431396,bajo
195543,medio
404901,medio
399898,medio
71556,bajo
89478,alto
13573,alto
97990,alto
373784,alto
133226,alto
64462,bajo
269006,medio
25883,alto
39842,bajo
78014,bajo
397732,medio
209122,bajo
370714,bajo
442579,medio
366262,alto
233695,medio
38335,medio
199830,alto
154636,bajo
412569,medio
94758,bajo
171596,alto
182396,bajo
30661,bajo
129159,alto
212389,medio
447977,medio
445451,medio
343285,medio
379521,alto
442047,medio
301207,bajo
127268,medio
201174,bajo
452897,bajo
332313,bajo
233423,bajo
227166,medio
183630,bajo
10215,alto
106919,bajo
378479,alto
5358,bajo
280874,alto
152373,alto
310936,bajo
111202,alto
115629,medio
423462,medio
277586,medio
142152,alto
269682,medio
241493,alto
174392,medio
345094,medio
83949,alto
167147,medio
120619,bajo
290792,medio
79051,alto
229441,bajo
356571,alto
460004,alto
362508,alto
3856,bajo
38382,bajo
114855,medio
401287,bajo
627,alto
49966,medio
5267,bajo
42366,bajo
56457,medio
137242,alto
230870,bajo
152430,alto
92868,alto
300937,bajo
334412,medio
129666,bajo
165562,bajo
53380,medio
186125,medio
440998,bajo
193103,alto
340050,medio
428637,alto
187407,alto
49898,bajo
35525,medio
286237,bajo
379818,bajo
100751,bajo
427998,alto
315423,alto
59153,alto
74583,medio
425605,bajo
197214,bajo
296382,bajo
456250,bajo
319506,bajo
240921,bajo
114002,alto
340064,medio
362153,bajo
193008,medio
303351,medio
359358,bajo
318080,medio
203844,alto
4007,medio
2659,alto
77038,bajo
414589,bajo
74435,medio
150607,medio
345128,medio
401759,medio
9966,medio
76428,medio
153481,medio
389984,alto
182178,bajo
69549,medio
218433,medio
96247,bajo
204735,medio
126049,alto
209418,medio
92779,bajo
111045,alto
239993,alto
318224,bajo
72498,medio
403188,bajo
126787,medio
342686,bajo
171767,bajo
266530,medio
60739,bajo
403588,bajo
383392,alto
244551,alto
449620,alto
438853,alto
197671,medio
453256,medio
188871,alto
96258,medio
27369,bajo
404794,alto
177768,medio
168156,alto
133664,bajo
403182,bajo
190605,alto
418781,alto
44293,alto
371103,bajo
324321,bajo
311230,alto
379967,medio
174483,alto
53799,alto
71215,alto
126082,alto
458380,bajo
264732,medio
143561,medio
242128,alto
115238,alto
409116,medio
103777,medio
126073,medio
117899,alto
39662,alto
321534,medio
377455,medio
116617,medio
398113,medio
344033,alto
430597,bajo
452890,bajo
3649,alto
296586,alto
254654,bajo
57038,bajo
139592,alto
284881,alto
209198,alto
40813,bajo
301735,medio
108850,bajo
19976,alto
7566,medio
138957,bajo
428556,medio
166980,medio
430795,medio
370905,alto
453017,medio
281339,medio
324202,bajo
358647,medio
354371,medio
243733,alto
236016,alto
184079,alto
15311,bajo
388477,alto
107040,medio
352943,alto
142389,medio
227904,alto
172848,alto
455298,medio
443877,alto
398784,medio
408296,medio
187876,alto
440188,bajo
291644,alto
256316,alto
264393,bajo
149196,alto
325832,alto
185061,medio
275078,bajo
28718,bajo
240292,medio
367576,bajo
134093,bajo
120290,bajo
147838,bajo
290840,alto
144942,alto
382871,medio
117499,bajo
202989,alto
139853,bajo
78004,medio
26277,alto
238143,medio
162512,medio
187852,medio
1358,bajo
55819,medio
114795,alto
126655,alto
17933,bajo
25731,alto
9691,alto
333234,bajo
355695,bajo
133475,bajo
430633,medio
230612,medio
75114,bajo
128730,medio
145725,medio
201841,alto
197934,medio
375698,bajo
176898,bajo
455255,medio
30353,bajo
425361,alto
369017,medio
413619,medio
57910,medio
107340,bajo
291836,bajo
92464,medio
125199,medio
74810,bajo
80951,bajo
291103,bajo
144255,alto
49822,medio
168067,bajo
11388,bajo
333930,bajo
17113,alto
390969,alto
339413,bajo
188866,medio
96455,alto
105143,alto
74710,medio
206131,bajo
206135,alto
438999,alto
209371,bajo
114930,alto
10206,alto
140281,bajo
447334,alto
290494,alto
325888,bajo
452361,bajo
64074,alto
201893,bajo
129137,alto
427177,alto
428366,bajo
204945,medio
54068,alto
317283,medio
70617,alto
428615,bajo
85792,alto
150612,alto
431949,bajo
274863,bajo
108661,alto
99241,alto
15439,medio
343384,alto
243947,medio
265396,bajo
321106,bajo
56084,medio
457923,bajo
107238,alto
93271,bajo
32118,alto
200911,alto
233428,bajo
65643,bajo
311350,alto
399823,medio
436245,alto
105187,alto
79683,bajo
100946,bajo
98965,medio
134940,alto
223782,bajo
155443,medio
56139,alto
147982,medio
35289,bajo
140741,alto
99278,medio
45882,alto
398729,medio
315473,medio
330139,bajo
257181,medio
368607,alto
220945,bajo
336318,alto
168195,medio
17790,medio
290500,bajo
445455,medio
78253,alto
451362,bajo
383402,medio
213032,bajo
216773,bajo
230630,alto
57706,medio
67782,bajo
242426,alto
382208,alto
428587,medio
45930,alto
216770,bajo
426972,bajo
123304,alto
387413,bajo
296515,medio
97065,medio
306858,medio
254558,medio
279995,alto
397550,medio
329552,bajo
347050,bajo
373935,medio
27971,bajo
107719,bajo
427036,medio
145681,alto
108814,bajo
77307,medio
308622,medio
188953,medio
200735,bajo
264539,medio
303033,medio
67987,medio
17450,medio
344045,alto
291033,alto
262760,bajo
168211,medio
59137,alto
114767,alto
27902,alto
211083,medio
156074,medio
253209,medio
264573,medio
128718,bajo
182310,medio
426087,bajo
82487,medio
125903,medio
48777,medio
38463,medio
429768,bajo
83746,bajo
381433,alto
251159,bajo
21567,bajo
428026,medio
321087,alto
287672,bajo
143495,bajo
111032,medio
160227,bajo
234328,bajo
398059,medio
306652,medio
427924,medio
111206,medio
71612,medio
62901,alto
190128,medio
355436,alto
111215,medio
300717,bajo
80636,bajo
367456,alto
277583,medio
315488,alto
140980,bajo
66788,alto
455376,alto
331714,alto
445202,alto
174169,bajo
159320,bajo
372076,bajo
399609,medio
452265,alto
403241,medio
118241,bajo
454855,bajo
98101,alto
373096,medio
412395,medio
406307,alto
182361,medio
114829,alto
301001,medio
249792,bajo
64647,bajo
237370,alto
141011,medio
199451,bajo
401608,bajo
430143,medio
167076,alto
41540,alto
328265,medio
454823,bajo
284843,bajo
44056,alto
306330,medio
222125,medio
40887,medio
110689,medio
228993,medio
2392,alto
337134,medio
356532,bajo
139539,bajo
452823,bajo
342493,bajo
271094,bajo
23470,medio
453851,bajo
26122,medio
374369,bajo
445586,medio
137144,medio
325970,alto
347471,medio
431391,medio
242331,alto
292032,bajo
240636,medio
76739,bajo
93282,bajo
339914,alto
312475,bajo
55380,medio
344778,alto
349797,bajo
452555,bajo
17624,alto
155743,bajo
379633,medio
319,medio
11145,bajo
253196,bajo
212784,medio
95171,medio
430765,medio
251786,bajo
190075,medio
9969,medio
184244,bajo
340063,bajo
346858,alto
404995,bajo
228699,bajo
372682,medio
425717,medio
192213,bajo
236655,medio
261103,medio
131762,medio
168212,alto
452790,bajo
129995,bajo
411223,medio
371267,medio
232904,alto
213757,alto
94189,alto
105424,medio
333925,alto
162391,medio
281115,alto
425576,medio
49530,medio
359985,bajo
220930,bajo
393705,bajo
319067,bajo
4756,alto
235279,alto
372546,bajo
94521,alto
297302,bajo
446496,bajo
183690,bajo
268070,medio
365088,bajo
141097,bajo
121107,alto
341715,alto
164978,bajo
242434,medio
343452,bajo
440558,bajo
398438,medio
69877,bajo
82334,medio
446816,medio
348025,alto
230946,bajo
295630,bajo
2643,bajo
6036,bajo
149950,bajo
126867,medio
393387,bajo
344783,medio
104121,alto
214100,alto
167958,bajo
194345,alto
10167,medio
398017,alto
23257,bajo
124903,bajo
28839,alto
454825,medio
290663,bajo
440932,bajo
247063,bajo
31311,alto
40095,medio
245002,bajo
335429,bajo
55426,medio
28039,medio
292126,bajo
238865,bajo
251395,bajo
217279,bajo
257033,bajo
95234,bajo
163280,bajo
313564,bajo
229185,alto
45282,bajo
200203,bajo
158680,medio
50992,bajo
283721,medio
40881,alto
137068,alto
136225,medio
165593,bajo
105425,bajo
240958,alto
157215,medio
196731,bajo
254134,medio
337578,alto
174599,medio
427123,bajo
175989,alto
223909,bajo
186847,bajo
201720,medio
172391,alto
169892,alto
296784,alto
11055,alto
302753,alto
185456,bajo
7874,medio
184124,medio
215492,alto
184954,medio
310906,bajo
420848,bajo
246573,alto
194186,medio
108432,bajo
48277,alto
449660,bajo
272290,alto
157112,alto
377935,alto
422273,alto
387628,bajo
336308,medio
160046,bajo
190536,alto
368756,bajo
128684,medio
273516,alto
69565,medio
79365,medio
257923,alto
374024,alto
74489,medio
11084,medio
323027,bajo
11332,bajo
452216,alto
57539,alto
24503,alto
169807,medio
167191,alto
450268,alto
207381,alto
272035,alto
267013,medio
151947,alto
283372,bajo
318067,alto
31429,medio
44243,medio
174288,medio
406989,bajo
22762,alto
408048,medio
256765,medio
318263,alto
376910,alto
264872,alto
188244,alto
192551,medio
168188,alto
59499,medio
317939,medio
215648,medio
241649,medio
297863,alto
137470,alto
187130,bajo
230830,alto
376951,alto
30325,bajo
169036,bajo
280085,alto
216723,medio
129254,medio
401959,bajo
311365,medio
254823,medio
426019,alto
235789,bajo
320477,alto
218988,alto
49380,bajo
33310,bajo
273880,bajo
215620,bajo
354328,medio
15883,medio
163822,bajo
428130,medio
180443,bajo
285945,bajo
228192,alto
428375,bajo
20050,alto
264726,medio
190652,alto
399646,medio
203800,alto
74511,bajo
202773,bajo
332622,medio
117416,bajo
155866,medio
150779,alto
222145,medio
237098,medio
251028,alto
182209,medio
436593,alto
430956,bajo
388498,alto
217451,bajo
250929,alto
194436,medio
183833,alto
397322,alto
112128,alto
400525,medio
397710,bajo
274910,bajo
257182,medio
338204,bajo
162374,medio
51162,bajo
51669,bajo
333747,medio
341443,bajo
95271,alto
323971,alto
430832,medio
94706,medio
258910,bajo
94535,medio
415535,bajo
237440,medio
393339,bajo
146136,alto
29996,bajo
317304,bajo
18161,alto
130321,bajo
304366,medio
383039,medio
318774,medio
129797,bajo
217804,medio
145046,bajo
415487,alto
378234,bajo
458388,medio
343325,bajo
149932,bajo
104111,alto
455278,bajo
279144,medio
350034,bajo
397583,alto
290804,bajo
448239,bajo
85334,medio
242396,alto
246895,medio
454888,bajo
452572,bajo
82048,medio
183378,medio
111030,bajo
182737,medio
375562,medio
287151,alto
195118,medio
242981,bajo
231163,medio
116349,alto
392772,bajo
194312,medio
293378,alto
267922,alto
293859,medio
331624,alto
289353,bajo
95556,bajo
358830,bajo
269158,alto
26325,medio
354275,bajo
447170,alto
434077,alto
371057,alto
358191,alto
46466,alto
430783,bajo
246530,alto
225627,medio
274834,alto
302720,medio
289309,bajo
334002,medio
397479,alto
238225,alto
397431,medio
351915,bajo
438524,alto
109083,medio
382211,bajo
152377,alto
155875,alto
126101,medio
12490,bajo
314610,bajo
436004,medio
208643,alto
31240,bajo
431996,bajo
411202,bajo
447486,bajo
282844,medio
244521,alto
153188,alto
139503,bajo
146103,bajo
108955,alto
103846,bajo
23235,bajo
85297,alto
306364,bajo
106544,medio
398764,bajo
402151,bajo
252528,bajo
65414,medio
219639,medio
62404,medio
291610,alto
451388,alto
107303,medio
21463,bajo
32582,medio
308555,bajo
150423,medio
79948,bajo
281538,bajo
329979,medio
149690,bajo
382423,medio
183051,medio
186358,bajo
399606,medio
89518,bajo
322921,bajo
282791,bajo
351542,medio
39677,bajo
120459,bajo
256065,bajo
36945,medio
370343,medio
303274,alto
254172,bajo
169781,alto
279087,medio
272246,medio
66744,medio
136316,alto
106463,alto
179888,alto
391098,bajo
169044,bajo
143243,bajo
123129,bajo
397243,medio
8216,bajo
254913,bajo
188760,medio
170539,medio
89633,alto
251022,bajo
302611,bajo
140739,medio
68428,medio
308241,bajo
72605,medio
455241,bajo
15835,bajo
362475,alto
398939,alto
371243,medio
280001,alto
433699,alto
94122,medio
273525,alto
66680,alto
178450,bajo
406857,alto
304425,alto
398118,alto
452585,medio
449066,medio
450243,alto
423388,medio
438052,bajo
106539,medio
261472,medio
269684,alto
34129,bajo
80500,alto
459421,alto
233441,alto
29038,medio
293634,bajo
332787,medio
219645,alto
127492,alto
298047,bajo
354462,alto
210130,bajo
386661,bajo
311784,bajo
76527,alto
182766,medio
377011,alto
30051,alto
399436,alto
447819,alto
68366,medio
135585,medio
323170,medio
306354,medio
140507,bajo
372955,alto
197540,medio
153116,bajo
170180,alto
135503,medio
214069,medio
158665,bajo
400176,medio
404340,bajo
433838,alto
187874,alto
13283,alto
22817,alto
134125,bajo
313183,alto
361878,medio
404890,alto
222686,medio
90081,bajo
448302,bajo
444075,bajo
256687,alto
389816,bajo
107562,medio
238609,medio
430507,bajo
439169,medio
341818,alto
195404,medio
178053,medio
372936,bajo
220419,bajo
341529,medio
334964,bajo
109210,bajo
439332,alto
19478,bajo
87922,alto
147397,medio
32150,medio
425588,bajo
37197,medio
316829,medio
19487,bajo
329688,alto
382331,alto
228398,bajo
441929,alto
62011,bajo
291627,alto
131923,bajo
177622,bajo
280801,bajo
219712,bajo
454207,bajo
287975,medio
212815,alto
4947,medio
443115,alto
36287,bajo
206132,alto
379358,alto
306385,alto
15634,medio
176400,bajo
79349,medio
258478,alto
398727,medio
38442,bajo
299018,medio
200941,alto
140179,bajo
62262,bajo
263961,medio
218979,medio
435908,medio
445963,alto
215623,bajo
25691,bajo
408457,alto
180226,bajo
428965,bajo
263964,medio
346255,bajo
365506,medio
425916,bajo
325929,bajo
121260,bajo
142458,alto
235394,alto
175799,medio
32124,alto
198938,alto
399828,medio
295825,bajo
133224,alto
134967,alto
234167,bajo
323743,alto
167303,alto
89975,bajo
376728,alto
389794,bajo
296965,bajo
307182,bajo
17121,bajo
303054,bajo
432066,bajo
450337,alto
169791,medio
195544,bajo
445313,medio
161898,bajo
448297,bajo
98279,bajo
186226,medio
136458,alto
436967,bajo
79193,alto
146105,alto
412676,bajo
206111,medio
219184,bajo
123630,medio
399607,bajo
133684,medio
185452,medio
259721,alto
400129,bajo
334413,bajo
197436,medio
157449,medio
120871,bajo
86598,bajo
332566,medio
