,latitud,longitud,barrio,property_type,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_price
313438,-34.5928519,-58.3972753,Recoleta,departamento,3,2,112,112,350000
84690,-34.6278111,-58.3600718,Boca,departamento,3,2,120,110,239000
335990,-34.5819496,-58.4299054,Palermo,departamento,2,1,55,50,220000
441906,-34.6022953,-58.4238854,Almagro,departamento,1,1,52,38,107000
142315,-34.6004946038,-58.3860683441,San Nicolás,departamento,1,1,36,32,90000
921,-34.5743936,-58.4488041,Colegiales,departamento,3,2,53,50,120000
90101,-34.6032988,-58.4540496,Villa Crespo,ph,4,3,124,124,260000
168464,-34.6018262,-58.4369967,Villa Crespo,departamento,3,2,56,54,103000
19668,-34.5507062807,-58.4474412253,Belgrano,departamento,5,3,171,153,499000
235481,-34.5998902,-58.4351457,Villa Crespo,departamento,4,3,71,65,165000
382384,-34.5980826,-58.4134255,Palermo,departamento,3,2,54,49,125000
204042,-34.5570204,-58.4477796,Belgrano,departamento,1,1,43,37,115000
26464,-34.573688174443916,-58.48562325898029,Villa Urquiza,departamento,2,1,63,55,149000
399600,-34.5950443,-58.4425378,Villa Crespo,departamento,1,1,41,36,92000
283212,-34.5750169785,-58.4896069765,Villa Urquiza,departamento,3,2,73,64,150000
282211,-34.5520174,-58.4690135,Nuñez,departamento,3,2,106,96,220000
297860,-34.5669406525,-58.4383455861,Palermo,departamento,2,1,39,34,150000
456136,-34.6282289038,-58.4271812439,Parque Chacabuco,departamento,2,1,42,42,69000
239913,-34.5669931,-58.4777151,Coghlan,departamento,1,1,41,37,125000
17753,-34.541616,-58.4733768,Nuñez,departamento,2,1,48,40,86000
42279,-34.5598733,-58.4492538,Belgrano,departamento,4,3,180,160,580000
361839,-34.5783119,-58.411152,Palermo,departamento,3,2,103,88,515407
450302,-34.5902524,-58.4236001,Palermo,departamento,3,2,66,62,231400
251409,-34.6470031314,-58.4925685002,Mataderos,ph,3,2,52,52,95000
388065,-34.6294306,-58.526338,Versalles,casa,3,2,212,162,340000
349654,-34.6294822,-58.3742305,Barracas,departamento,2,1,42,40,78000
284371,-34.6063848337,-58.4579730034,Parque Centenario,departamento,2,1,50,45,157546
143786,-34.5989966,-58.4236502,Almagro,departamento,1,1,44,42,60000
355889,-34.571745,-58.4859822,Villa Urquiza,departamento,2,1,61,46,170000
311232,-34.58252506122768,-58.425474744127335,Palermo,departamento,2,1,41,39,140000
254924,-34.6037853,-58.4974998,Villa del Parque,departamento,2,1,40,37,80000
142327,-34.5976293,-58.4333259,Villa Crespo,departamento,3,2,65,58,146000
162041,-34.576436,-58.422081,Palermo,departamento,1,1,37,33,104900
373168,-34.6070853,-58.4853186,Villa del Parque,departamento,2,1,42,38,105000
17312,-34.6411693,-58.4777232,Parque Avellaneda,departamento,3,2,55,55,85000
235109,-34.5801338,-58.4318753,Palermo,departamento,2,1,55,50,140000
227901,-34.5947778632,-58.4306647508,Palermo,departamento,1,1,77,66,58900
193454,-34.6269083,-58.3731594,San Telmo,departamento,3,1,64,64,236000
1101,-34.5911678,-58.3979816,Barrio Norte,departamento,2,1,53,44,125000
142228,-34.6526623,-58.5224536,Mataderos,departamento,2,1,42,37,70000
127708,-34.6125873,-58.4835767,Villa Santa Rita,departamento,2,1,44,37,104000
115260,-34.6130871,-58.3813599,Monserrat,departamento,2,1,38,38,80000
284265,-34.6067762,-58.4100568,Balvanera,departamento,2,1,35,35,59700
452717,-34.624838,-58.4317838,Caballito,departamento,2,1,69,51,165640
69551,-34.5942762,-58.4168676,Palermo,departamento,3,2,66,63,198000
450434,-34.5846351,-58.4115426,Palermo,departamento,6,5,178,152,460000
26445,-34.6216761,-58.4062602,San Cristobal,departamento,2,1,39,37,98000
428722,-34.582832,-58.4478804,Chacarita,departamento,1,1,43,39,89000
162534,-34.60325993456439,-58.38309012384223,San Nicolás,departamento,3,2,57,57,109000
399859,-34.570101,-58.48634,Villa Urquiza,departamento,4,3,96,85,280000
455193,-34.6150288,-58.362972,Puerto Madero,departamento,2,1,66,60,299900
398959,-34.5868567,-58.4520612,Chacarita,departamento,1,1,38,31,78356
238196,-34.6362717,-58.5292435,Liniers,departamento,3,2,50,50,105000
161976,-34.5871243,-58.3850434,Retiro,departamento,3,2,116,116,350000
67560,-34.6088861,-58.4411834,Caballito,departamento,2,1,47,47,110000
318180,-34.612719,-58.4956403,Villa del Parque,departamento,3,2,53,53,110000
189945,-34.6101087,-58.4507912,Caballito,departamento,2,1,53,45,122000
178194,-34.606544,-58.449626,Caballito,departamento,4,3,114,99,209000
324413,-34.624682,-58.528009,Versalles,ph,3,2,145,113,149000
428640,-34.6148751,-58.4399783,Caballito,casa,4,3,184,184,350000
185632,-34.5802423,-58.4339275,Palermo,ph,3,2,83,63,148000
240121,-34.5646142,-58.4415394,Belgrano,departamento,3,2,78,78,259000
284275,-34.6563362,-58.48738,Mataderos,ph,2,1,42,40,60000
115002,-34.6390361,-58.4826574,Floresta,departamento,3,2,56,56,99000
241470,-34.6172958869,-58.4565912418,Caballito,departamento,3,2,58,52,125000
408091,-34.5842942,-58.4364688,Palermo,departamento,2,1,42,42,135000
129785,-34.587573491,-58.415132761,Palermo,departamento,1,1,35,34,100320
115192,-34.6136339,-58.4290262,Caballito,departamento,3,2,155,105,290000
108430,-34.636073,-58.469644,Flores,departamento,4,3,82,82,99000
215844,-34.5601594,-58.4715658,Coghlan,ph,5,2,177,93,210000
195446,-34.5872214,-58.40687,Barrio Norte,departamento,2,1,46,42,140000
275568,-34.5975982,-58.4266296,Villa Crespo,departamento,3,2,75,67,210886
202965,-34.5966353,-58.4033944,Recoleta,departamento,4,3,96,87,250000
231394,-34.6326958996,-58.4611487389,Flores,ph,3,2,67,60,104000
22699,-34.5540823,-58.4626311,Nuñez,departamento,1,1,43,39,92988
40988,-34.5982382,-58.4054005,Barrio Norte,departamento,3,2,64,56,159900
287035,-34.6392349,-58.4591128,Flores,departamento,4,3,77,72,129900
386497,-34.5798486,-58.4136184,Palermo,departamento,2,1,74,40,185000
106153,-34.5960449,-58.392167,Barrio Norte,departamento,1,1,35,35,79500
80619,-34.6044237,-58.4021524,Balvanera,departamento,4,3,81,70,125000
206333,-34.6198732,-58.5085782,Floresta,departamento,2,1,37,32,92000
453006,-34.6115181,-58.3738937,Monserrat,departamento,1,1,63,59,145000
163044,-34.6219476,-58.4618269,Flores,departamento,1,1,37,36,67000
293207,-34.578697,-58.4402639,Palermo,departamento,3,2,137,58,371790
47233,-34.5966575,-58.4118329,Barrio Norte,departamento,2,1,61,58,138000
205147,-34.58145905,-58.4713974,Villa Ortuzar,departamento,1,1,52,52,120000
205303,-34.5504430146,-58.4745464037,Saavedra,ph,7,4,260,160,235000
231449,-34.6212609,-58.4871114,Floresta,ph,2,1,54,37,99000
414666,-34.5548479,-58.4640156,Nuñez,departamento,1,1,41,41,105001
1237,-34.5751187,-58.4769237,Villa Urquiza,ph,4,3,121,102,198000
158248,-34.577975,-58.430557,Palermo,departamento,4,3,162,130,495000
401780,-34.5722382,-58.4468407,Colegiales,departamento,3,2,38,35,212800
152194,-34.5953494,-58.3980576,Recoleta,departamento,5,4,166,146,319900
427994,-34.5873682,-58.4058637,Recoleta,departamento,2,1,47,43,125000
238719,-34.633781,-58.4101292,Parque Patricios,departamento,2,1,50,50,110000
256999,-34.595352,-58.3972725,Recoleta,departamento,4,3,106,106,320000
320182,-34.6173215,-58.4608556,Flores,departamento,2,1,55,55,145000
275687,-34.6226632,-58.4119412,San Cristobal,departamento,2,1,43,38,79000
372856,-34.602078,-58.457708,Paternal,departamento,1,1,77,66,57000
398302,-34.6377519,-58.4847335,Floresta,departamento,2,1,51,45,83900
423466,-34.6235632,-58.4348208,Caballito,departamento,3,2,65,62,180000
19488,-34.62496,-58.4641704,Flores,departamento,3,3,90,60,120000
160105,-34.5945357,-58.3972852,Recoleta,departamento,3,3,87,75,164000
147407,-34.5741656,-58.4200498,Palermo,departamento,2,1,45,45,99500
254779,-34.6617555,-58.4682168,Villa Lugano,departamento,3,2,60,56,69000
87134,-34.5749337,-58.4851642,Villa Urquiza,ph,3,2,57,47,179000
379354,-34.6157544,-58.464472,Flores,departamento,3,2,66,66,112000
12541,-34.6252774,-58.3790216,San Telmo,departamento,2,1,48,44,97832
94147,-34.5871243,-58.3850434,Retiro,departamento,3,2,116,116,350000
20939,-34.5899714,-58.3879305,Recoleta,departamento,5,4,183,168,390000
410379,-34.6214484982,-58.3983850479,San Cristobal,ph,3,2,85,65,134999
101358,-34.6600786,-58.5031222,Mataderos,ph,4,3,278,163,173850
385562,-34.562430705786525,-58.45480465588652,Belgrano,departamento,4,3,127,118,399000
364800,-34.6312619,-58.4542692,Flores,departamento,2,1,46,44,116000
280099,-34.588566,-58.3899773,Recoleta,departamento,4,3,160,160,440000
329854,-34.6083201,-58.3948227,Congreso,departamento,1,1,31,31,72000
250945,-34.6196762,-58.4284201,Caballito,departamento,4,2,72,70,95000
453269,-34.5776304,-58.448951,Colegiales,departamento,2,1,44,41,99000
182182,-34.6203933,-58.4399705,Caballito,departamento,2,1,54,44,120000
358226,-34.5393622,-58.466149,Nuñez,departamento,2,1,43,40,168000
308793,-34.5767712,-58.4843847,Villa Urquiza,departamento,1,1,33,34,96000
155557,-34.5900069,-58.423288,Palermo,departamento,1,1,36,31,109000
118842,-34.5599059,-58.4639731,Belgrano,departamento,3,2,73,63,225000
324058,-34.626109,-58.4353834,Caballito,ph,2,1,57,49,105000
355884,-34.6224457,-58.4016887,San Cristobal,departamento,3,2,67,60,130000
456133,-34.6297913,-58.4359849,Parque Chacabuco,departamento,2,1,46,46,89400
368944,-34.5928386,-58.3875445,Recoleta,departamento,2,1,46,43,165000
319155,-34.6243034,-58.4322872,Caballito,departamento,3,2,70,63,220000
229271,-34.601551,-58.3851921,Tribunales,departamento,4,2,70,66,119000
181747,-34.578974,-58.412193,Palermo,departamento,2,1,40,37,129000
105109,-34.5598424,-58.4717879,Coghlan,departamento,2,1,47,38,77000
387593,-34.5664635,-58.4398689,Palermo,departamento,5,4,235,178,545000
408128,-34.5689486972,-58.4363056697,Palermo,departamento,3,2,83,78,258000
347431,-34.6166917,-58.443128,Caballito,departamento,2,1,47,38,102312
297319,-34.5759281,-58.455463,Colegiales,ph,4,3,131,111,395000
2208,-34.6165036,-58.4089169,Once,departamento,3,2,59,54,84000
25863,-34.5809117,-58.4257187,Palermo,departamento,2,1,58,49,157900
49897,-34.5809263,-58.4910693,Villa Urquiza,departamento,2,1,47,42,87475
12012,-34.632529,-58.361631,Boca,departamento,2,1,55,47,64000
233448,-34.6126694,-58.4567754,Caballito,departamento,4,3,110,92,242000
455277,-34.6187089,-58.3918217,San Cristobal,departamento,4,3,162,138,210000
252834,-34.616655,-58.441467,Caballito,departamento,1,1,34,31,92000
381451,-34.6237066,-58.4861744,Floresta,departamento,1,1,35,32,65000
336373,-34.5985364,-58.482226,Agronomía,departamento,2,1,40,35,79000
22164,-34.573945,-58.4766471,Villa Urquiza,casa,4,3,267,193,410000
377440,-34.5846021268,-58.4406293906,Palermo,departamento,3,2,58,54,154000
329847,-34.5589037,-58.4441079,Belgrano,departamento,3,2,112,112,470000
150812,-34.6190749,-58.3828429,Constitución,departamento,1,1,41,36,83000
266245,-34.5841255,-58.4146258,Palermo,departamento,2,1,70,70,152000
188113,-34.6203276,-58.4639793,Flores,departamento,2,1,51,43,125000
414704,-34.594655892,-58.3789435246,Retiro,departamento,3,2,82,82,240000
150981,-34.5953722,-58.4521867,Chacarita,ph,5,4,208,158,170000
278731,-34.5429641,-58.4622309,Nuñez,departamento,4,3,108,100,485000
388719,-34.6251258085,-58.4542578656,Caballito,departamento,1,1,40,36,75000
167153,-34.6085833,-58.417515,Almagro,departamento,2,1,62,45,140000
148308,-34.6213141,-58.5274816,Villa Real,ph,1,1,38,38,80000
22984,-34.5565715,-58.4601675,Belgrano,departamento,4,3,86,79,215000
190091,-34.5776433,-58.4722717,Villa Urquiza,departamento,2,1,73,55,180000
371898,-34.6197855,-58.4910244,Villa del Parque,ph,3,2,130,48,149000
381296,-34.5875967,-58.4183443,Palermo,departamento,1,1,30,32,89000
57492,-34.5820204,-58.4240237,Palermo,departamento,1,1,35,32,149000
459968,-34.598384,-58.499773,Villa Devoto,departamento,3,2,62,57,152000
459821,-34.615201,-58.460554,Caballito,departamento,1,1,38,35,114000
71305,-34.5909585,-58.395094,Recoleta,departamento,4,3,189,161,400000
12829,-34.6075925588,-58.476651907,Villa del Parque,departamento,2,1,37,37,59000
402925,-34.5740189,-58.4217738,Palermo,departamento,3,2,76,73,270000
170545,-34.581303,-58.5048405,Villa Pueyrredón,departamento,3,2,65,61,98990
180628,-34.5870769,-58.4124284,Barrio Norte,departamento,4,3,105,98,315000
171677,-34.6401812,-58.4242727,Parque Chacabuco,departamento,2,1,41,34,61000
223839,-34.6487119,-58.5258101,Liniers,departamento,2,1,42,42,50000
155538,-34.5894432,-58.4194807,Palermo,departamento,3,2,83,75,290000
324487,-34.61399534202049,-58.36360988886702,Puerto Madero,departamento,3,2,127,120,220000
274998,-34.5942257,-58.3994119,Recoleta,departamento,3,2,44,40,110000
115202,-34.6272421,-58.4295917,Caballito,departamento,2,1,44,37,165000
277688,-34.5970236,-58.4118695,Barrio Norte,departamento,4,3,92,57,183000
53861,-34.6052624,-58.407066,Balvanera,departamento,3,2,130,90,130000
361307,-34.6258246,-58.4578409,Flores,departamento,3,2,105,74,195000
22755,-34.5781107,-58.4325058,Palermo,departamento,1,1,36,32,105000
440811,-34.5590446,-58.454199,Belgrano,departamento,5,3,177,166,460000
291942,-34.5979814,-58.4321964,Villa Crespo,departamento,3,2,54,54,135000
56749,-34.5945529,-58.4132655,Recoleta,departamento,1,1,30,32,74000
144511,-34.6238427,-58.4454521,Caballito,ph,3,2,170,82,250000
149114,-34.573855,-58.4219,Palermo,departamento,3,2,105,85,435000
162373,-34.614711,-58.4040622,Balvanera,departamento,2,1,58,34,63500
429128,-34.5774207,-58.445438,Colegiales,departamento,3,2,52,44,75000
183830,-34.620499,-58.443763,Caballito,departamento,2,1,47,41,118000
3635,-34.572652,-58.440331,Palermo,departamento,4,3,150,140,430000
300850,-34.5682823,-58.4863564,Villa Urquiza,departamento,2,1,45,40,95500
195193,-34.5889676,-58.4203353,Palermo,departamento,2,1,44,40,115000
289311,-34.6118234,-58.4379504,Caballito,departamento,3,2,67,64,105000
384415,-34.5525943,-58.4429397,Belgrano,departamento,3,2,68,65,295000
349995,-34.552863548,-58.4782236856,Saavedra,departamento,1,1,47,43,115000
76482,-34.6037383,-58.4208993,Almagro,departamento,3,2,75,69,147500
195457,-34.5941481,-58.4421306,Villa Crespo,departamento,1,1,36,32,77000
183657,-34.6324592,-58.3903407,Parque Patricios,departamento,3,2,70,67,98000
387591,-34.58252506122768,-58.425474744127335,Palermo,departamento,4,4,150,141,339000
240116,-34.559246,-58.456311,Belgrano,departamento,1,1,33,34,95000
91915,-34.5536439,-58.4592377,Nuñez,departamento,2,1,57,51,159000
59309,-34.609779,-58.454825,Caballito,departamento,1,1,70,31,82000
315407,-34.5705128728,-58.4352072702,Belgrano,departamento,4,4,119,93,320000
392447,-34.6084237,-58.4162374,Almagro,departamento,3,2,61,59,124900
214079,-34.5887425,-58.5081196,Villa Devoto,departamento,1,1,40,35,68000
290679,-34.5612628,-58.4590128,Belgrano,departamento,2,1,55,46,112000
451353,-34.569489,-58.457027,Belgrano,departamento,4,3,195,195,586000
204124,-34.5914789,-58.3860063,Recoleta,departamento,4,3,189,175,580000
387000,-34.5581913,-58.4581381,Belgrano,departamento,3,2,69,60,172000
437001,-34.5865516,-58.4971283,Villa Pueyrredón,ph,3,2,70,62,140000
66488,-34.5819094,-58.405644,Palermo,departamento,2,1,70,62,260000
17488,-34.5792979,-58.4348134,Palermo,departamento,1,1,55,45,168000
285840,-34.6303438,-58.451088,Caballito,departamento,2,1,66,53,155000
397044,-34.6320801,-58.4709615,Flores,departamento,1,1,31,31,57000
101089,-34.5932615012,-58.4094572067,Barrio Norte,departamento,2,1,40,37,110000
393716,-34.622252,-58.477311,Villa Santa Rita,ph,3,2,95,81,119000
345953,-34.5946791,-58.4195701,Palermo,departamento,3,2,78,64,235000
358832,-34.5735196,-58.4413013,Colegiales,departamento,5,4,202,187,399800
182219,-34.6726328,-58.4991775,Mataderos,departamento,3,2,59,51,62000
65587,-34.5814257627,-58.4030628204,Balvanera,departamento,5,4,117,117,175000
196405,-34.5429344,-58.4617742,Belgrano,departamento,2,1,80,75,280000
335969,-34.5653476,-58.4401147,Palermo,departamento,2,1,41,35,120000
317208,-34.5968076,-58.4003781,Barrio Norte,departamento,2,1,48,42,92000
105892,-34.5778674038,-58.4242156116,Palermo,departamento,1,1,43,37,110000
238677,-34.5797827583,-58.4898161888,Villa Urquiza,departamento,4,3,110,90,328000
17836,-34.563537428,-58.460277227,Belgrano,departamento,2,1,40,39,105000
260330,-34.5833466157,-58.4455125233,Palermo,departamento,1,1,50,45,94000
242547,-34.677222,-58.493033,Villa Lugano,departamento,2,1,54,48,110280
82193,-34.5899714,-58.3879305,Recoleta,departamento,2,1,110,80,308000
406674,-34.5840965,-58.4460786,Chacarita,departamento,1,1,39,33,108880
446119,-34.5926076,-58.4108793,Palermo,departamento,1,1,60,40,130000
115120,-34.5510473,-58.4868386,Saavedra,departamento,4,3,65,65,159000
322640,-34.6262159,-58.4199663,Boedo,departamento,3,2,69,58,138000
329835,-34.5632111,-58.4644865,Belgrano,departamento,3,2,96,71,234999
402862,-34.6160393,-58.4192848,Almagro,departamento,2,1,35,35,57000
133179,-34.5915837,-58.3777276,Retiro,departamento,2,1,58,35,110000
458317,-34.6233749,-58.3712291,San Telmo,departamento,1,1,55,39,99000
436452,-34.6248961,-58.4347249,Caballito,departamento,4,3,99,89,279000
118843,-34.60741806650264,-58.39702765919473,Congreso,departamento,5,3,126,123,240000
167181,-34.5895252,-58.4150989,Palermo,departamento,5,3,139,110,390000
204666,-34.549795,-58.4634669,Nuñez,departamento,3,2,90,70,230000
102762,-34.579116,-58.42705,Palermo,departamento,2,1,48,48,88000
455333,-34.575523,-58.490516,Villa Urquiza,departamento,1,1,30,32,59000
251538,-34.555919,-58.4575773,Belgrano,departamento,4,3,80,70,240000
120445,-34.624851,-58.434546,Caballito,departamento,2,1,44,44,118900
88602,-34.6330126,-58.527117,Versalles,casa,2,1,240,50,55000
61136,-34.5764951,-58.4470977,Colegiales,ph,3,2,105,95,175000
222906,-34.565072,-58.455059,Belgrano,departamento,3,2,56,56,95000
167674,-34.5750261,-58.4716537,Belgrano,departamento,3,2,80,62,300000
439095,-34.6189798,-58.4394965,Caballito,departamento,4,3,112,107,249000
116162,-34.564352,-58.4390853,Palermo,departamento,4,3,103,103,260000
425619,-34.6043161,-58.4270145,Almagro,ph,3,2,82,68,165000
100768,-34.58252506122768,-58.425474744127335,Palermo,departamento,2,1,31,30,78000
69411,-34.5412501,-58.4729664,Nuñez,departamento,2,1,60,50,122500
287653,-34.607678,-58.389359,San Nicolás,departamento,3,2,38,38,76000
343920,-34.591368,-58.4111046,Barrio Norte,departamento,2,1,45,42,85000
21154,-34.6342648,-58.5053166,Villa Luro,departamento,3,1,80,68,120000
212399,-34.543484,-58.4693733,Nuñez,departamento,3,2,63,63,184559
32191,-34.6391149,-58.5016958,Villa Luro,departamento,1,1,37,37,77000
248114,-34.5682024,-58.4335038,Palermo,departamento,4,3,123,117,340000
375363,-34.585119,-58.411445,Palermo,departamento,1,1,38,37,65000
403384,-34.583688,-58.469951,Villa Ortuzar,departamento,1,1,43,38,62244
56497,-34.6316662,-58.4173711,Boedo,departamento,3,2,64,54,109900
459967,-34.598243,-58.517926,Villa Devoto,departamento,4,3,170,160,399000
200595,-34.5942762,-58.4168676,Palermo,departamento,3,2,66,63,211000
415654,-34.5813209,-58.4483433,Colegiales,departamento,2,1,51,46,134900
365386,-34.565153,-58.433908,Palermo,departamento,3,2,118,104,349000
139335,-34.5609214,-58.4623761,Belgrano,departamento,2,1,37,35,125000
114908,-34.5680004,-58.4555318,Belgrano,departamento,4,3,98,80,250000
23223,-34.5828621,-58.4472025,Chacarita,departamento,2,1,48,45,150000
360160,-34.5548436,-58.4565897,Belgrano,departamento,1,1,47,44,115000
77316,-34.6098262,-58.4289656,Almagro,departamento,1,1,44,35,79900
68671,-34.603223,-58.396188,Barrio Norte,departamento,3,2,77,73,129900
269167,-34.6768609,-58.4946368,Villa Lugano,departamento,3,2,71,64,38000
284320,-34.6187052,-58.4993511,Monte Castro,ph,2,1,30,30,62500
384663,-34.573714,-58.481455,Villa Urquiza,departamento,3,2,60,60,196000
192082,-34.5827676,-58.4019809,Palermo,departamento,2,1,53,48,132000
328255,-34.6261133,-58.3971466,San Cristobal,ph,4,2,78,78,120000
49809,-34.5864479,-58.4740575,Parque Chas,departamento,2,1,37,34,99000
435788,-34.6019145,-58.395655,Once,departamento,4,3,107,94,165000
452777,-34.628191,-58.437675,Caballito,departamento,3,2,78,70,199703
338066,-34.5917643,-58.4031676,Barrio Norte,departamento,5,3,125,125,320000
115252,-34.6504075,-58.5158942,Mataderos,departamento,2,1,63,60,145000
187682,-34.5612731765,-58.4723765312,Coghlan,departamento,2,1,31,31,65000
71373,-34.676285745650816,-58.47431012564594,Villa Lugano,departamento,3,2,49,49,39900
256197,-34.5842007,-58.4208048,Palermo,departamento,4,3,109,109,209000
296933,-34.624563,-58.454607,Caballito,departamento,1,1,40,40,82000
188476,-34.5955560173,-58.3896398935,Barrio Norte,departamento,4,3,110,105,280000
75668,-34.593193,-58.4048123,Barrio Norte,departamento,2,1,54,35,113000
68418,-34.6114917,-58.4083509,Balvanera,departamento,2,1,52,52,65000
320287,-34.5499557011,-58.4706223011,Nuñez,departamento,2,1,53,49,128000
313536,-34.5879243,-58.3838198,Barrio Norte,departamento,2,1,45,45,100000
171315,-34.6021625,-58.4050334,Balvanera,departamento,3,2,54,54,100000
222935,-34.6285307,-58.4289109,Caballito,departamento,2,1,36,33,66000
236806,-34.5876596,-58.3857784,Barrio Norte,departamento,3,2,96,87,355000
397351,-34.6096202,-58.4194289,Almagro,departamento,3,2,52,50,134900
108828,-34.6248837,-58.4253543,Caballito,departamento,2,1,35,35,61000
238518,-34.6212012854,-58.4382534027,Caballito,departamento,2,1,49,45,97900
271276,-34.621914,-58.4860101,Floresta,ph,4,3,220,150,225000
229396,-34.5707925032,-58.4861172325,Villa Urquiza,departamento,1,1,36,33,88000
361851,-34.5744265,-58.4320615,Palermo,departamento,4,3,93,93,260000
223558,-34.6233299,-58.4588342,Flores,departamento,2,1,49,43,85000
